city,company,id,link,location,salary,snippet,source,state,title,type,updated
Dallas,Cenergistic,-2148660056234871261,https://jooble.org/jdp/-2148660056234871261,"Dallas, TX",,"&nbsp;...data for non-technical audiences. 

· Proficiency in advanced reporting tools and data analysis platforms (e.g., Excel, Power BI, <b>Tableau)</b>. 

· Proven leadership in high-stakes environments with measurable impact on client retention and satisfaction. 


 We are an...&nbsp;",app.linkedin.com,TX,"Vice President, Energy Performance & Assurance",,2025-07-15T00:00:00.0000000
San Rafael,BioMarin Pharmaceutical Inc.,1988634470406844407,https://jooble.org/jdp/1988634470406844407,"San Rafael, CA",,"&nbsp;...Data Management, Data Warehousing, and Data Governance for 12+ years. 
 Strong SQL skills and experience with tools like Power BI, <b>Tableau,</b> and cloud platforms. 
 Leadership experience in data projects and migrating platforms to cloud environments. 
 This position is...&nbsp;",placed-app.com,CA,"AD, Data Architect (San Rafael)",Full-time,2025-07-15T12:15:41.3400000
Pleasanton,Maxonic Inc.,6137799819491064424,https://jooble.org/jdp/6137799819491064424,"Pleasanton, CA",,"&nbsp;...incrementality  . 
~ Proficiency in  SQL  (must be able to write queries). 
~ Experience with  data visualization tools  (e.g., <b>Tableau,</b> Power BI). 
~ Background in  retail, retail media, media platforms, or ad tech  , focusing on  advertising measurement, analytics...&nbsp;",placed-app.com,CA,Technical Product Manager (Pleasanton),Full-time,2025-07-16T12:16:08.8670000
San Jose,Mastech Digital,-2080003367143535782,https://jooble.org/jdp/-2080003367143535782,"San Jose, CA",,"&nbsp;...Job Description 
 <b>Tableau </b>Developer/Designer 
 Locations: San Jose, CA (Hybrid)

 Join our client's dynamic team as a Tableau Developer and play a key role in enhancing their business processes through innovative data visualization solutions. As a Tableau Developer...&nbsp;",ziprecruiter.com,CA,Tableau Developer/Designer,,2025-06-19T00:00:00.0000000
Irvine,Westcliff University,-192509831601615596,https://jooble.org/jdp/-192509831601615596,"Irvine, CA",,"&nbsp;..., Workday Adaptive Planning, or similar tools). 
 Experience designing dashboards, data visualizations using tools like Power BI, <b>Tableau,</b> or similar. 
 Experience developing financial methodologies and frameworks, including profitability models, forecasting approaches...&nbsp;",ziprecruiter.com,CA,Financial Analyst,,2025-07-10T00:00:00.0000000
Deerfield Beach,Regional One Inc,-4086218296320970217,https://jooble.org/jdp/-4086218296320970217,"Deerfield Beach, FL",,"&nbsp;...forecasting, budgeting, and financial planning. 
 Experience with ERP systems (e.g., NetSuite, SAP, Oracle) and BI tools (e.g., Power BI, <b>Tableau)</b> is a plus. 
 Aviation industry experience is a bonus but not required. 
 Excellent communication, collaboration, and...&nbsp;",ziprecruiter.com,FL,Senior Financial Analyst,,2025-06-30T00:00:00.0000000
Florham Park,PRICE WATERHOUSE COOPERS,-3643809366316945717,https://jooble.org/jdp/-3643809366316945717,"Florham Park, NJ",,"&nbsp;...data extraction/transformation, analytics, and visualization approaches; 
 Employing business intelligence software (e.g., Power BI, <b>Tableau,</b> etc.) to turn data into insights; 
 Using ETL (Extract, Transform and Load), and having experience with Alteryx, Power Query and/...&nbsp;",placed-app.com,NJ,Deals - Diligence Analytics Director (Florham Park),Full-time,2025-07-01T11:48:33.5430000
Burnsville,Trystar Inc,-8453295210877445997,https://jooble.org/jdp/-8453295210877445997,"Burnsville, MN",,"&nbsp;...with ERP and other demand planning systems, with Epicor being a plus 
 Experience with data visualization tools, a plus (Power BI, <b>Tableau,</b> etc.)
 Demonstrated ability to document, streamline, and automate complex processes 
 Excellent communication (verbal & written)...&nbsp;",ziprecruiter.com,MN,SIOP Manager,,2025-07-14T00:00:00.0000000
San Francisco,ICONIQ Capital,490080115950333830,https://jooble.org/jdp/490080115950333830,"San Francisco, CA",,"&nbsp;...and automation tools (e.g., Addepar, Snowflake, Salesforce, low/no-code platforms, AI/ML solutions, business intelligence tools like <b>Tableau </b>or Power BI). 
~ Exceptional communication skills, with the ability to translate between technical and business audiences and...&nbsp;",placed-app.com,CA,"Vice President, Technology Transformation Lead (San Francisco)",Full-time,2025-07-15T12:18:30.8800000
Pleasanton,Davita Inc.,-6067022392765049759,https://jooble.org/jdp/-6067022392765049759,"Pleasanton, CA",,"&nbsp;...success leading analytics or Business intelligence teams. 
 Technical Proficiency:  Hands-on experience with data analysis tools (e.g., <b>Tableau,</b> Power BI) and statistical software (Python, R). Familiarity with AI/ML techniques for forecasting and segmentation. 
 Leadership...&nbsp;",placed-app.com,CA,Director of Business Insights & Analytics (Pleasanton),Full-time,2025-07-16T12:14:44.6930000
Dallas,Johnstone Supply LLC,-7920395491675284633,https://jooble.org/jdp/-7920395491675284633,"Dallas, TX",,"&nbsp;...return metrics. 
 High proficiency in Excel and PowerPoint; experience with BI tools and financial systems (e.g., Adaptive, Anaplan, <b>Tableau,</b> Power BI, Datarails) a plus 
 Able to analyze large data sets and distill insights to support decision-making. 
 Highly detail-...&nbsp;",ziprecruiter.com,TX,Corporate Development Associate,,2025-07-13T00:00:00.0000000
Boston,MassMutual,-7241213859742446535,https://jooble.org/jdp/-7241213859742446535,"Boston, MA",,"&nbsp;...Calypso, Murex or similar 
~ Data & Integration: SQL, Python, APIs, ETL tools, Azure/AWS/GCP or similar 
~ BI/Reporting: Power BI, <b>Tableau,</b> or similar 


 The Ideal Qualifications 
 Masters degree 
 Understanding of various programming languages and frameworks to...&nbsp;",placed-app.com,MA,Solution Architect - Investment Management Tech (Boston),Full-time,2025-07-15T12:14:50.4470000
Greenlawn,Allergan,7033345070670523410,https://jooble.org/jdp/7033345070670523410,"Greenlawn, NY",,"&nbsp;...strategic decision-making 
 Expertise in data visualization, advanced analytics, and strategic performance management tools (e.g., <b>Tableau,</b> Spotfire, Power BI, R, Python)
 Familiarity with AI, machine learning, forecasting models, and predictive analytics relevant to...&nbsp;",placed-app.com,NY,"Director II, Strategy & Business Insights (Greenlawn)",Full-time,2025-07-01T11:53:50.1230000
Miami,Royal Caribbean International,5388299861771897490,https://jooble.org/jdp/5388299861771897490,"Miami, FL",,"&nbsp;.... 
· Proficiencyin Excel, financial planning tools (e.g., Hyperion, Anaplan), and business intelligence software (e.g., Power BI, <b>Tableau)</b>
· Experience with OracleEnterprise Planning Management tools including PPM modulea plus 
· Demonstrated experience leading cross...&nbsp;",placed-app.com,FL,"Director, Capital Planning (Miami)",Full-time,2025-07-15T12:18:30.5830000
Princeton,Lingraphica,-4245450451329569685,https://jooble.org/jdp/-4245450451329569685,"Princeton, NJ",,"&nbsp;...Hands-on experience with HubSpot, NetSuite (or similar ERP), clearinghouse-integrated RCM platforms, and BI tools such as Power BI or <b>Tableau.</b> 
 Experience working in an organization transitioning through growth. 

 Additional Information 

 Work Environment &...&nbsp;",ziprecruiter.com,NJ,Technical Program Manager,,2025-06-19T00:00:00.0000000
San Francisco,Unity,194584761434891790,https://jooble.org/jdp/194584761434891790,"San Francisco, CA",,"&nbsp;...BigQuery, Snowflake, Redshift, or others). 
 Extensive experience with modern BI tools to create impactful visualizations (e.g., Looker, <b>Tableau,</b> Power BI, or similar). 
 Good communication and interpersonal skills with different collaborators across teams, as well as a self...&nbsp;",placed-app.com,CA,"Senior Business Intelligence Developer, Trust & Safety Operations (San Francisco)",Full-time,2025-07-15T12:15:57.7900000
Clearwater,Enumerate,-1106646963595796384,https://jooble.org/jdp/-1106646963595796384,"Clearwater, FL",,"&nbsp;...A platforms such as Planful, Adaptive Insights, or similar tools. 
~ Proficiency in data visualization tools such as Power BI and <b>Tableau </b>to deliver impactful dashboards and visual reporting. 
~ Familiarity with AI tools and techniques to optimize analytical capabilities...&nbsp;",ziprecruiter.com,FL,Senior FP&A Analyst,,2025-06-22T00:00:00.0000000
Washington DC,ICMA-RC,-6993955279365536843,https://jooble.org/jdp/-6993955279365536843,Washington DC,,"&nbsp;...analysis (EDA) to uncover trends, patterns, and opportunities for improvement 
- Develop and maintain dashboards using tools such as <b>Tableau,</b> Power BI, or Looker 
- Collaborate with Product Managers to define product goals, KPIs, and success metrics 
- Identify areas...&nbsp;",placed-app.com,N/A,Senior Product Analyst (Washington),Full-time,2025-07-14T13:18:21.0670000
Saint Louis,Zelis Healthcare Inc.,4598725898522792552,https://jooble.org/jdp/4598725898522792552,"Saint Louis, MO",,"&nbsp;...SnowPro Advanced (Admin or Architect) Certification 
 Experience integrating Snowflake with tools like  Alation, Collibra, Power BI, <b>Tableau,</b> or Databricks 
 Familiarity with  Erwin or other data modeling tools 
 Experience working in regulated industries (e.g.,...&nbsp;",placed-app.com,MO,"Senior Snowflake Platform Engineer - Infrastructure, Security & Cost Optimization (St. Louis)",Full-time,2025-07-15T12:18:16.0700000
San Diego,Alimentiv,-2555216444385036430,https://jooble.org/jdp/-2555216444385036430,"San Diego, CA",,"&nbsp;...pricing strategies with multiple discount structures 
~ Experience with pricing tools, business intelligence platforms (e.g., Power BI, <b>Tableau)</b>, and CRM systems 
~4 + years of related experience 

$83,500 - $139,000 a year  Seniority level 
~ Seniority level  Mid-Senior...&nbsp;",placed-app.com,CA,Pricing Director (San Diego),Full-time,2025-07-03T16:48:49.2530000
Richmond,"Jewett Automation, LLC",4668977456490155271,https://jooble.org/jdp/4668977456490155271,"Richmond, VA",,"&nbsp;...~ Advanced Excel and financial modeling skills; experience with ERP systems (SAP, Oracle, NetSuite, etc.) and BI tools (Power BI, <b>Tableau)</b> preferred. 
~ Ability to learn new software products required. 
~ Excellent communication and presentation skills with the ability...&nbsp;",ziprecruiter.com,VA,Operations Finance Sr. Analyst,,2025-07-07T00:00:00.0000000
Waterbury,Post University,-8163647788033553499,https://jooble.org/jdp/-8163647788033553499,"Waterbury, CT",,"&nbsp;...preferred. 
~ Strong analytical skills with proficiency in Excel, financial modeling, and data visualization tools (e.g., Power BI, <b>Tableau)</b>. 
~ Experience with ERP systems (e.g., Workday, Banner) and familiarity with Civitas or similar predictive analytics platforms is...&nbsp;",ziprecruiter.com,CT,"Forecasting, Planning, & Analysis Manager",,2025-07-08T00:00:00.0000000
Dallas,MDA Edge,-218669878766173413,https://jooble.org/jdp/-218669878766173413,"Dallas, TX",,"Join to apply for the <b>Tableau </b>Developer role at MDA Edge
1 day ago Be among the first 25 applicants
Join to apply for the Tableau Developer role at MDA Edge
Get AI-powered advice on this job and more exclusive features.
This range is provided by MDA Edge. Your actual pay...&nbsp;",appcast.io,TX,Tableau Developer,,2025-07-15T00:00:00.0000000
Minneapolis,Continua Interiors,-3331652329213711978,https://jooble.org/jdp/-3331652329213711978,"Minneapolis, MN",,"&nbsp;...entity or multinational organizations. 
~ Advanced Excel skills, experience with AI and data visualization tools (e.g., Power BI, <b>Tableau)</b> are preferred. 
~ Solid understanding of financial principles, accounting standards, and reporting practices. 
~ Exceptional analytical...&nbsp;",ziprecruiter.com,MN,Financial Planning Analyst,,2025-07-15T00:00:00.0000000
Melbourne,The Brevard Health Alliance Inc,5865274971853746840,https://jooble.org/jdp/5865274971853746840,"Melbourne, FL",,"&nbsp;..., pivot tables). 
 Experience with eClinicalWorks (eCW) and Phreesia preferred. 
 Familiarity with BI/reporting tools (Power BI, <b>Tableau,</b> Azara, etc.) preferred. 
 Strong understanding of scheduling workflows, provider productivity metrics, and payer reimbursement models...&nbsp;",ziprecruiter.com,FL,Schedule and Productivity Manager,,2025-07-10T00:00:00.0000000
Houston,Quantix,-2854343863943937733,https://jooble.org/jdp/-2854343863943937733,"Houston, TX",,"&nbsp;..., Enablon, VelocityEHS, Intelex, Gensuite, or simil 
 ar).Strong analytical skills, with advanced proficiency in Excel, Power BI, <b>Tableau,</b> or similar data visualization to 
 ols.Deep knowledge of EHS&S compliance frameworks and reporting requireme 
 nts.Excellent communication...&nbsp;",ziprecruiter.com,TX,"Director, Safety- Data & Systems",,2025-07-01T00:00:00.0000000
Orange County,24 Seven Talent,7842329696645662712,https://jooble.org/jdp/7842329696645662712,"Orange County, CA",,"&nbsp;...analytics, Stream Hatchet, or Tubular 
~ Experience with social listening and performance reporting 
~ Strong communication, data storytelling, and stakeholder alignment skills 
~ Bonus: SQL,  <b>Tableau/</b>Looker/Power  BI, and a background in games or entertainment...&nbsp;",ziprecruiter.com,CA,"Marketing Analyst, Video Gaming",,2025-07-01T00:00:00.0000000
Washington DC,Uber,3058481762055599101,https://jooble.org/jdp/3058481762055599101,Washington DC,,"&nbsp;...forecasting, quota modeling, segmentation, and GTM planning. 
~ Strong analytical and problem-solving skills, with experience in SQL, <b>Tableau,</b> Looker, or Power BI. 

 Preferred Qualifications 
~10+ years of experience in Sales Strategy, Planning, or GTM Operations, with...&nbsp;",placed-app.com,N/A,"Head of Sales Strategy & Planning, Grocery & Retail (Washington)",Full-time,2025-07-01T12:06:56.7130000
Jersey City,Go Offer,-1651617660789773570,https://jooble.org/jdp/-1651617660789773570,"Jersey City, NJ",,"&nbsp;...years experience analyzing data and building reports 
~ Strong SQL skills for extracting data from databases 
~ Experience with <b>Tableau,</b> Power BI, or similar visualization tools 
~ Comfortable with Excel and statistical analysis 
~ Basic Python or R knowledge is a...&nbsp;",ziprecruiter.com,NJ,Data Analyst,,2025-07-01T00:00:00.0000000
Chicago,Jobs via Dice,-8725036682792699645,https://jooble.org/jdp/-8725036682792699645,"Chicago, IL",,"&nbsp;...Certification. 
 Experience with CI/CD pipelines and Infrastructure as Code (IaC) tools like Terraform. 
 Familiarity with BI tools (e.g., <b>Tableau,</b> Power BI, Looker). 
 Experience with data orchestration tools like Apache Airflow or dbt. 
 Knowledge of Kafka, event streaming,...&nbsp;",placed-app.com,IL,Senior Database Engineer (Chicago),Full-time,2025-07-15T12:19:13.6630000
Miami Gardens,Goodwill Industries,6243245465697334906,https://jooble.org/jdp/6243245465697334906,"Miami Gardens, FL",,"&nbsp;...field  . 
~3+ years of experience in a business analyst or e-commerce analytics role. 
~ Strong proficiency in  Excel, Power BI, <b>Tableau,</b> SQL, Google Analytics, and related e-commerce reporting tools  . 
~ Experience with online marketplaces (eBay, Amazon, Shopify) and...&nbsp;",ziprecruiter.com,FL,Ecommerce Business Analyst,,2025-07-14T00:00:00.0000000
Boston,MassMutual,2173183420900884589,https://jooble.org/jdp/2173183420900884589,"Boston, MA",,"&nbsp;...investment data flows are secure, accurate, and efficient. 
 Enable advanced analytics and dashboards using BI tools e.g., Power BI, <b>Tableau.</b> 
 Collaborate with data governance teams to uphold data quality, lineage, and compliance. 
 Stakeholder Engagement 
 Serve as a...&nbsp;",placed-app.com,MA,"Systems Director, Investment Management Technology (Boston)",Full-time,2025-07-15T12:16:41.9630000
Foster,"Gilead Sciences, Inc.",-1255765272846024927,https://jooble.org/jdp/-1255765272846024927,"Foster, CA",,"&nbsp;...the design, development, and optimization of dashboards, reports, and analytics tools using platforms such as Spotfire, Power BI, or <b>Tableau,</b> to provide a comprehensive view of company performance. 
 Support the integration of predictive analytics, machine learning, and...&nbsp;",placed-app.com,CA,"Director, Business Intelligence - Medical Affairs (Foster City)",Full-time,2025-07-16T12:14:37.5970000
Darien,Robert Half,8165114919176540574,https://jooble.org/jdp/8165114919176540574,"Darien, CT",,"&nbsp;...field, with 3+ years of experience in financial analysis or budgeting. 
 Advanced Excel skills, familiarity with tools like Power BI/<b>Tableau,</b> and ERP system experience (e.g., MS Dynamics or NetSuite) preferred. 
 Enjoy robust health coverage, a company-matched 401(k),...&nbsp;",ziprecruiter.com,CT,Senior Financial Analyst (90k-115+Bonus!),,2025-07-11T00:00:00.0000000
San Francisco,TechDigital Group,-7870997995685475543,https://jooble.org/jdp/-7870997995685475543,"San Francisco, CA",,"&nbsp;...Experience in Marketing Analytics (Lead management, Pipe metrics, Events/Campaigns etc..) a huge plus. 
 Expert in CRM Analytics or <b>Tableau </b>business and development standards and best practices related to reports, lenses, dashboards and all related objects. 
 Expert in...&nbsp;",placed-app.com,CA,Business Intelligence Analyst IV (San Francisco),Full-time,2025-07-16T12:13:02.6070000
Milwaukee,Winter Services Inc,-4087950538348428381,https://jooble.org/jdp/-4087950538348428381,"Milwaukee, WI",,"&nbsp;...strongly preferred. Experience with Salesforce and Concur is a plus 
~ Experience with/knowledge of SQL, Microsoft Power BI, Qlik, <b>Tableau </b>or other BI software is a plus 

 Qualifications: 
~ B.S. in Accounting or Finance 
~ MBA, CPA or CFA is a plus 
~3-5 years of...&nbsp;",ziprecruiter.com,WI,Senior Financial Analyst,,2025-07-02T00:00:00.0000000
Seattle,GEICO,7115681404426907917,https://jooble.org/jdp/7115681404426907917,"Seattle, WA",,"&nbsp;...functional needs into system solutions 
~ Experience in implementing Revenue or Expense analytical solutions using tools like Power BI or <b>Tableau </b>

#Insurance #FinanceData #CareerGrowth #RemoteWork #TechnologySolutions #EmployeeBenefits 
""We prioritize candidate privacy and...&nbsp;",placed-app.com,WA,Senior Staff Engineer - Finance Data Specialist (Remote) (Seattle),Full-time,2025-07-15T12:16:02.9430000
San Francisco,FROG DESIGN,8482318973120521284,https://jooble.org/jdp/8482318973120521284,"San Francisco, CA",,"&nbsp;...Experience with financial reporting and analysis.

2. Knowledge of regulatory requirements, such as SOX or GAAP.

3. Familiarity with data analytics and visualization tools, such as <b>Tableau </b>or Power BI.
* Free services are subject to limitations

#J-18808-Ljbffr FROG DESIGN",appcast.io,CA,Auditor,,2025-07-14T00:00:00.0000000
Reston,Leidos,8484652538407343054,https://jooble.org/jdp/8484652538407343054,"Reston, VA",,"&nbsp;...Work Breakdown Structures (WBS) and Integrated Master Schedules (IMS). 
 Experience using data visualization tools (e.g., Power BI, <b>Tableau)</b> for reporting and performance dashboards. 
 Understanding of change management and configuration control processes. 
 Knowledge...&nbsp;",PJA.J-VERS,VA,Database Administrator,,2025-07-14T00:00:00.0000000
New York,Phaxis - Technology,-2224996515560088833,https://jooble.org/jdp/-2224996515560088833,"New York, NY",,"&nbsp;...documents to convey data quality issues for resolution and coordinate the cleansing process 
- SQL skills 
 Plusses: 
- Power BI 
- <b>Tableau </b>
- Python 
 Day to day: 
- Translate requirements into data-driven deliverables and solutions 
- Create requirements to resolve...&nbsp;",ziprecruiter.com,NY,Data Analyst - SQL a must - P&C or Reinsurance - ONSITE NYC (DN),,2025-04-21T00:00:00.0000000
